Department  ,Division,Position Title,Employee Status,Initial Hire Date,Date in Position,Fair Labor Standards Act (FLSA) ,Base Salary
Transportation,Transportation Engineering,Engineering Technician IV,Permanent Full-time,03/30/2019,10/24/2022,Nonexempt,53287.50
Transportation,Traffic Operations,Traffic Maintenance Tech I,Permanent Full-time,08/02/2021,11/04/2023,Nonexempt,39837.00
Transportation,Traffic Operations,Traffic Maintenance Tech I,Permanent Full-time,09/08/2015,06/15/2024,Nonexempt,39837.00
Transportation,Traffic Operations,Maintenance Worker I,Permanent Full-time,03/30/1987,05/15/1996,Nonexempt,39759.45
Transportation,Transit - Transportation,Traffic Sign Fabricator I,Permanent Full-time,03/09/2024,03/09/2024,Nonexempt,39837.00
Transportation,Traffic Operations,Traffic Maintenance Tech I,Permanent Full-time,03/14/2022,09/12/2022,Nonexempt,39837.00
Transportation,Traffic Operations,Traffic Maintenance Tech I,Permanent Full-time,01/03/2023,01/03/2023,Nonexempt,39837.00
Transportation,Directors Office,Director of Transportation,Permanent Full-time,01/14/1980,10/24/2022,Exempt,157500.00
Transportation,Transportation Engineering,Engineering Technician IV,Permanent Full-time,02/23/2015,10/24/2022,Nonexempt,53550.00
Transportation,Transit - Transportation,Project Manager,Permanent Full-time,04/06/2024,04/06/2024,Exempt,75000.00
Transportation,Traffic Operations,Traffic Signal Technician III,Permanent Full-time,05/01/2017,06/11/2018,Nonexempt,50350.26
Transportation,Transportation Engineering,Engineering Technician II,Permanent Full-time,02/18/1975,05/15/1996,Nonexempt,72593.17
Transportation,Traffic Operations,Traffic Signal Technician IV,Permanent Full-time,10/24/2016,10/24/2016,Nonexempt,58108.00
Transportation,Traffic Operations,Bureau Manager,Permanent Full-time,10/01/1985,03/01/2010,Exempt,108844.05
Transportation,Transportation Planning,Transportation Strateg Planner,Permanent Full-time,09/12/2020,03/09/2024,Exempt,88133.70
Transportation,Traffic Operations,Traffic Maintenance Tech I,Permanent Full-time,05/14/2018,05/23/2022,Nonexempt,39837.00
Transportation,Transportation Engineering,Engineering Technician II,Permanent Full-time,09/16/2010,01/06/2020,Nonexempt,46337.14
Transportation,Transit - Transportation,Civil Engineer V,Permanent Full-time,06/12/2017,04/06/2024,Exempt,108727.50
Transportation,Traffic Operations,Engineering Technician II,Permanent Full-time,05/01/2012,05/01/2012,Nonexempt,49173.46
Transportation,Transportation Engineering,City Transportation Engineer,Permanent Full-time,05/30/2017,07/05/2022,Exempt,115500.00
Transportation,Traffic Operations,Traffic Signal Technician IV,Permanent Full-time,03/24/2008,03/24/2008,Nonexempt,62724.00
Transportation,Transportation Engineering,Design/Construction Prj Mgr Sr,Permanent Full-time,06/24/2023,06/24/2023,Exempt,85595.00
Transportation,Transit - Transportation,Traffic Signal Technician I,Permanent Full-time,04/20/2024,04/20/2024,Nonexempt,40362.00
Transportation,Traffic Operations,Traffic Signal Technician IV,Permanent Full-time,05/23/2016,05/23/2016,Nonexempt,58108.00
Transportation,Traffic Operations,Traffic Maintenance Tech I,Permanent Full-time,12/05/2020,02/14/2022,Nonexempt,39837.00
Transportation,Traffic Operations,Traffic Sign Fabricator II,Permanent Full-time,11/03/1993,10/23/2005,Nonexempt,53744.86
Transportation,Transit - Directors Office,Administrative Manager,Permanent Full-time,02/10/2024,02/10/2024,Exempt,70000.00
Transportation,Transit - Transportation,Civil Engineer IV,Permanent Full-time,03/14/2005,04/06/2024,Exempt,97683.16
Transportation,Transit - Transportation,Traffic Maintenance Tech I,Permanent Full-time,06/15/2024,06/15/2024,Nonexempt,39837.00
Transportation,Directors Office,Accountant I,Permanent Full-time,10/24/2020,03/27/2023,Nonexempt,48756.75
Transportation,Traffic Operations,Operations Manager,Permanent Full-time,03/29/2000,12/03/2007,Exempt,72453.00
Transportation,Transit - Transportation,Maintenance Shop Manager,Permanent Full-time,10/24/2020,01/27/2024,Exempt,55392.75
Transportation,Directors Office,Management Analyst I,Permanent Full-time,01/22/2018,11/04/2023,Exempt,47300.00
Transportation,Traffic Operations,Traffic Signal Technician IV,Permanent Full-time,09/26/2011,09/05/2017,Nonexempt,58108.00
Transportation,Traffic Operations,Traffic Signal Technician IV,Permanent Full-time,02/29/2020,02/29/2020,Nonexempt,55393.00
Transportation,Transportation Engineering,Network Engineer IV,Permanent Full-time,10/06/1993,08/01/2020,Exempt,101372.25
Transportation,Transit - Transportation,Engineering Technician II,Permanent Full-time,07/09/2013,05/04/2024,Nonexempt,45013.00
Transportation,Traffic Operations,Traffic Maintenance Tech I,Permanent Full-time,12/20/2021,12/20/2021,Nonexempt,39837.00
Transportation,Traffic Operations,Traffic Maintenance Tech I,Permanent Full-time,09/13/2021,09/13/2021,Nonexempt,39837.00
Transportation,Transportation Engineering,Construction Inspector II,Permanent Full-time,10/29/1992,01/23/2017,Nonexempt,56677.41
Transportation,Traffic Operations,Operations Manager,Permanent Full-time,12/15/2008,11/20/2023,Exempt,63123.00
Slover Library,Slover Library,Library Associate  I,Permanent Full-time,04/25/2022,01/16/2024,Nonexempt,40100.00
Slover Library,Slover Library,Library Assistant II,Casual Part-time,04/08/2023,04/08/2023,Nonexempt,19.03
Slover Library,Slover Library,Library Associate II,Intermittent Temporary,11/04/2023,11/04/2023,Nonexempt,19.40
Slover Library,Slover Library,Library Associate II,Intermittent Temporary,11/04/2023,11/04/2023,Nonexempt,19.40
Slover Library,Slover Library,Librarian I,Permanent Full-time,10/29/2018,01/03/2023,Exempt,51765.53
Slover Library,Slover Library,Librarian III,Permanent Full-time,05/09/2008,12/03/2022,Exempt,71440.53
Slover Library,Slover Library,BusinessDevelopment Consultant,Permanent Full-time,08/12/2023,08/12/2023,Exempt,60000.00
Slover Library,Slover Library,Library Assistant II,Casual Part-time,11/12/2019,03/15/2022,Nonexempt,19.03
Slover Library,Slover Library,Library Assistant II,Permanent Full-time,04/02/2018,09/25/2021,Nonexempt,39575.00
Slover Library,Slover Library,Visitor Services Specialist,Permanent Full-time,10/17/2016,11/21/2022,Exempt,46108.65
Slover Library,Slover Library,Library Assistant I,Permanent Full-time,11/20/2021,11/20/2021,Nonexempt,39312.00
Slover Library,Slover Library,Library Associate  I,Permanent Full-time,07/06/2022,07/06/2022,Nonexempt,46110.41
Slover Library,Slover Library,Accounting Technician II,Intermittent Temporary,02/24/2024,02/24/2024,Nonexempt,20.00
Slover Library,Slover Library,InfoTechnology Trainer,Permanent Full-time,11/01/2005,05/06/2023,Nonexempt,48912.15
Slover Library,Slover Library,Visitor Services Coordinator,Permanent Full-time,07/13/2004,03/25/2023,Nonexempt,43707.08
Slover Library,Slover Library,Library Assistant II,Permanent Full-time,08/25/2008,08/31/2021,Nonexempt,39575.00
Slover Library,Slover Library,Director of Slover Library,Permanent Full-time,04/08/2023,04/08/2023,Exempt,131250.00
Slover Library,Slover Library,Bureau Manager,Permanent Full-time,04/25/2022,09/25/2023,Exempt,95000.00
Slover Library,Slover Library,Manager of Visitor Services,Permanent Full-time,05/18/2024,05/18/2024,Exempt,60557.00
Slover Library,Slover Library,Multimedia Comm Specialist I,Permanent Full-time,06/15/2024,06/15/2024,Exempt,48000.00
Slover Library,Slover Library,Visitor Services Assistant,Casual Part-time,01/27/2024,01/27/2024,Nonexempt,18.90
Slover Library,Slover Library,Operations Manager,Permanent Full-time,10/07/2023,10/07/2023,Exempt,69732.00
Slover Library,Slover Library,Library Associate  I,Permanent Full-time,09/18/2017,05/11/2019,Nonexempt,40100.00
Slover Library,Slover Library,Library Associate II,Intermittent Temporary,11/18/2023,11/18/2023,Nonexempt,19.40
Slover Library,Slover Library,Project Coordinator,Permanent Full-time,12/31/2001,01/17/2023,Exempt,60637.50
Slover Library,Slover Library,Visitor Services Specialist,Special Project w/ Retirement,01/27/2024,01/27/2024,Exempt,45000.00
Slover Library,Slover Library,Library Associate  I,Permanent Full-time,09/26/2016,10/14/2017,Nonexempt,40100.00
Slover Library,Slover Library,Library Assistant II,Permanent Full-time,04/01/2010,09/13/2021,Nonexempt,39575.00
Slover Library,Slover Library,Library Associate  I,Permanent Full-time,09/14/2012,07/06/2021,Nonexempt,40100.00
Slover Library,Slover Library,Library Assistant II,Casual Part-time,12/10/2018,03/15/2022,Nonexempt,19.12
Slover Library,Slover Library,Visitor Services Assistant,Casual Part-time,04/06/2024,04/06/2024,Nonexempt,18.90
Slover Library,Slover Library,Library Assistant II,Permanent Full-time,06/22/2015,10/21/2023,Nonexempt,39575.00
Slover Library,Slover Library,Library Assistant II,Permanent Full-time,11/27/2017,01/22/2019,Nonexempt,39575.00
Slover Library,Slover Library,Program Coordinator,Permanent Full-time,10/08/2014,04/12/2021,Nonexempt,53559.40
Slover Library,Slover Library,Library Associate  I,Permanent Full-time,05/09/2023,05/09/2023,Nonexempt,40100.00
Slover Library,Slover Library,Executive Assistant,Permanent Full-time,12/02/2023,12/02/2023,Nonexempt,53882.92
Slover Library,Slover Library,Facilities Manager,Permanent Full-time,02/09/2015,12/07/2020,Exempt,54306.60
Slover Library,Slover Library,Librarian II,Permanent Full-time,11/19/2012,01/03/2023,Exempt,60953.60
Slover Library,Slover Library,Management Analyst II,Permanent Full-time,12/19/2020,11/19/2022,Exempt,60674.25
Slover Library,Slover Library,Library Assistant I,Permanent Full-time,09/12/2022,10/10/2023,Nonexempt,39312.00
Housing and Community Development,HUD Entitlement Management,Accountant III,Permanent Full-time,06/27/2007,04/24/2021,Exempt,57914.33
Housing and Community Development,Housing and Community Dev,Public Services Coordinator,Permanent Full-time,08/15/2022,08/15/2022,Exempt,49560.00
Housing and Community Development,Housing and Community Dev,Project Manager,Permanent Full-time,01/17/2022,05/08/2023,Exempt,82411.88
Housing and Community Development,Housing and Community Dev,Real Estate Coordinator,Permanent Full-time,06/22/2012,04/22/2023,Exempt,56248.50
Housing and Community Development,Housing and Community Dev,Housing Finance Specialist,Permanent Full-time,05/18/2024,05/18/2024,Exempt,100000.00
Housing and Community Development,Housing and Community Dev,"Projects Manager, Senior",Permanent Full-time,11/29/2021,11/19/2022,Exempt,102532.50
Housing and Community Development,Housing and Community Dev,Real Estate Coordinator,Permanent Full-time,11/22/2021,11/22/2021,Exempt,60637.50
Housing and Community Development,HUD Entitlement Management,Management Analyst III,Permanent Full-time,04/24/2021,09/23/2023,Exempt,69866.25
Housing and Community Development,Housing and Community Dev,Dir of Hous and Community Dev,Permanent Full-time,06/10/1996,08/03/2015,Exempt,170000.00
Housing and Community Development,Housing and Community Dev,Administrative Assistant II,Permanent Full-time,06/15/2024,06/15/2024,Nonexempt,46000.00
Housing and Community Development,HUD Entitlement Management,Accountant IV,Permanent Full-time,10/10/2020,12/19/2022,Exempt,73500.00
Housing and Community Development,Housing and Community Dev,"Projects Manager, Senior",Permanent Full-time,11/18/2023,11/18/2023,Exempt,90000.00
Housing and Community Development,Housing and Community Dev,Management Analyst II,Permanent Full-time,03/06/2017,06/04/2022,Exempt,62842.50
Housing and Community Development,HUD Entitlement Management,Management Analyst II,Permanent Full-time,08/02/2010,12/31/2020,Exempt,59049.90
Housing and Community Development,HUD Entitlement Management,Bureau Manager,Permanent Full-time,04/14/2008,01/17/2022,Exempt,100800.00
Housing and Community Development,HUD Entitlement Management,Management Analyst III,Special Project w/ Retirement,04/11/2022,04/11/2022,Exempt,77175.00
Housing and Community Development,Housing and Community Dev,Business Manager,Permanent Full-time,01/03/2022,01/03/2022,Exempt,66150.00
Housing and Community Development,Housing and Community Dev,Data Analyst,Permanent Full-time,06/03/2023,06/03/2023,Exempt,66353.00
Housing and Community Development,Housing and Community Dev,"Design & Rehab Consultant, Sr",Permanent Full-time,09/10/2007,11/29/2021,Exempt,75000.00
Housing and Community Development,Housing and Community Dev,Assistant Director,Permanent Full-time,07/20/2019,07/03/2021,Exempt,132299.86
Housing and Community Development,Housing and Community Dev,Bureau Manager,Permanent Full-time,05/04/2024,05/04/2024,Exempt,105000.00
Housing and Community Development,Housing and Community Dev,Management Analyst III,Permanent Full-time,05/09/2022,05/09/2022,Exempt,71442.00
Housing and Community Development,Housing and Community Dev,Management Analyst III,Permanent Full-time,03/09/2024,03/09/2024,Exempt,70000.00
Housing and Community Development,Housing and Community Dev,Management Analyst III,Permanent Full-time,06/06/2022,06/06/2022,Exempt,67934.01
Housing and Community Development,Housing and Community Dev,Assistant Director,Permanent Full-time,05/30/2017,10/05/2020,Exempt,132300.00
Housing and Community Development,HUD Entitlement Management,Management Analyst II,Permanent Full-time,03/08/2021,03/08/2021,Exempt,59049.90
Housing and Community Development,HUD Entitlement Management,Management Analyst II,Permanent Full-time,01/17/2023,12/02/2023,Exempt,60000.00
Housing and Community Development,Housing and Community Dev,Design/Construction Prj Mgr Sr,Special Project w/ Retirement,02/10/2004,12/06/2021,Exempt,108000.00
Housing and Community Development,Housing and Community Dev,"Design & Rehab Consultant, Sr",Permanent Full-time,10/08/2022,10/08/2022,Exempt,65992.50
Housing and Community Development,HUD Entitlement Management,Management Analyst I,Permanent Full-time,09/22/2006,08/15/2022,Exempt,50000.00
"Diversity, Equity, & Inclusion","Diversity, Equity, and Incl.",Econ Inclusion Mgr (DEI Only),Permanent Full-time,01/03/2023,01/03/2023,Exempt,87267.60
"Diversity, Equity, & Inclusion","Diversity, Equity, and Incl.",Div Equ and Inclu Officer,Permanent Full-time,12/05/2016,03/02/2019,Exempt,159863.00
"Diversity, Equity, & Inclusion","Diversity, Equity, and Incl.","Projects Manager, Senior",Permanent Full-time,04/25/2022,09/25/2023,Exempt,91493.00
"Diversity, Equity, & Inclusion","Diversity, Equity, and Incl.",Administrative Assistant I,Permanent Full-time,03/28/2022,08/29/2022,Nonexempt,45208.80
"Diversity, Equity, & Inclusion","Diversity, Equity, and Incl.",Sr. Econ Incl Mgr (DEI Only),Permanent Full-time,10/24/2005,07/01/2022,Exempt,103083.75
"Diversity, Equity, & Inclusion","Diversity, Equity, and Incl.",Programs Manager,Permanent Full-time,09/28/2019,10/24/2022,Exempt,79275.00
"Diversity, Equity, & Inclusion","Diversity, Equity, and Incl.",Econ Inclusion Mgr (DEI Only),Permanent Full-time,12/30/2023,12/30/2023,Exempt,74315.36
Norfolk Healthcare Consortium,Healthcare Administration,HR Benefits Analy II (HR Only),Permanent Full-time,02/23/1998,04/22/2023,Exempt,69754.65
Norfolk Healthcare Consortium,Healthcare Administration,HR Benefits Manager (HR only),Permanent Full-time,08/04/2022,08/04/2022,Exempt,90000.00
Norfolk Healthcare Consortium,Healthcare Administration,Executive Director of NHC,Permanent Full-time,03/23/2020,03/23/2020,Exempt,144219.00
Norfolk Healthcare Consortium,Healthcare Administration,Data Analyst,Permanent Full-time,09/13/2012,04/29/2024,Exempt,77443.07
Norfolk Healthcare Consortium,Healthcare Administration,Benefits Specialist (HR only),Permanent Full-time,05/06/2023,05/06/2023,Nonexempt,47250.00
Norfolk Healthcare Consortium,Healthcare Administration,Multimedia Comm Specialist II,Permanent Full-time,04/16/2018,03/14/2022,Exempt,59059.82
Norfolk Healthcare Consortium,Healthcare Administration,Benefits Specialist (HR only),Permanent Full-time,11/05/2022,11/05/2022,Nonexempt,47250.00
Norfolk Healthcare Consortium,Healthcare Administration,Benefits Specialist (HR only),Permanent Full-time,07/09/2012,05/20/2023,Nonexempt,51765.52
Norfolk Healthcare Consortium,Healthcare Administration,"Projects Manager, Senior",Permanent Full-time,03/16/2015,12/19/2022,Exempt,99540.00
Norfolk Healthcare Consortium,Healthcare Administration,City Wellness Coordinator,Permanent Full-time,11/07/2005,10/22/2022,Exempt,62895.00
Norfolk Healthcare Consortium,Healthcare Administration,HR Benefits Analy II (HR Only),Permanent Full-time,09/24/2022,04/22/2023,Exempt,57385.00
Cemeteries,Cemetery Fund,Equipment Operator II,Permanent Full-time,02/29/2020,08/14/2023,Nonexempt,45208.80
Cemeteries,Cemetery Fund,Cemetery Manager II,Permanent Full-time,10/09/2007,12/10/2012,Nonexempt,45415.60
Cemeteries,Cemetery Fund,Cemetery Manager II,Permanent Full-time,06/20/2023,06/20/2023,Nonexempt,40362.00
Cemeteries,Cemetery Fund,Cemetery Manager II,Permanent Full-time,09/27/2021,09/27/2021,Nonexempt,40362.00
Cemeteries,Cemetery Fund,Administrative Assistant I,Permanent Full-time,09/28/2019,01/02/2024,Nonexempt,44000.00
Cemeteries,Cemetery Fund,Division Head,Permanent Full-time,04/01/2013,01/02/2021,Exempt,77330.39
Cemeteries,Cemetery Fund,Accounting Technician II,Permanent Full-time,08/15/2022,08/15/2022,Nonexempt,42000.00
Cemeteries,Cemetery Fund,Equipment Operator III,Permanent Full-time,02/29/2020,09/11/2021,Nonexempt,40100.00
Cemeteries,Cemetery Fund,Bureau Manager,Permanent Full-time,06/11/2007,06/11/2007,Exempt,112046.71
Cemeteries,Cemetery Fund,Equipment Operator III,Permanent Full-time,09/27/2021,09/11/2023,Nonexempt,40100.00
Cemeteries,Cemetery Fund,Equipment Operator III,Permanent Full-time,02/29/2020,11/05/2022,Nonexempt,40100.00
Cemeteries,Cemetery Fund,Equipment Operator II,Permanent Full-time,10/08/1999,12/19/2016,Nonexempt,39837.00
Cemeteries,Cemetery Fund,Groundskeeper,Permanent Full-time,03/14/2022,03/14/2022,Nonexempt,39312.00
Cemeteries,Cemetery Fund,Maintenance Supervisor II,Permanent Full-time,06/11/2001,05/15/2023,Exempt,56243.25
Cemeteries,Cemetery Fund,Equipment Operator II,Permanent Full-time,04/11/2022,03/23/2024,Nonexempt,39837.00
Cemeteries,Cemetery Fund,Groundskeeper,Permanent Full-time,06/21/2022,06/21/2022,Nonexempt,39312.00
Cemeteries,Cemetery Fund,Equipment Operator II,Permanent Full-time,10/25/2021,11/05/2022,Nonexempt,39837.00
Cemeteries,Cemetery Fund,Groundskeeper Crew Leader,Permanent Full-time,03/30/2019,07/29/2023,Nonexempt,44100.00
Cemeteries,Cemetery Fund,Groundskeeper,Permanent Full-time,12/02/2023,12/02/2023,Nonexempt,39312.00
Cemeteries,Cemetery Fund,Operations Manager,Permanent Full-time,05/12/2008,03/23/2016,Exempt,68956.65
Cemeteries,Cemetery Fund,Groundskeeper,Permanent Full-time,04/22/2023,04/22/2023,Nonexempt,45204.60
Cemeteries,Cemetery Fund,Groundskeeper,Permanent Full-time,08/01/2022,08/01/2022,Nonexempt,39312.00
Cemeteries,Cemetery Fund,Cemetery Manager II,Permanent Full-time,10/12/2019,07/19/2021,Nonexempt,40362.00
Emergency Preparedness and Response,EOC/911,Public Safety Telecomm Supv,Permanent Full-time,04/27/2019,04/27/2019,Nonexempt,60478.00
Emergency Preparedness and Response,EOC/911,Public Safety Tele Call Taker,Permanent Full-time,04/06/2024,04/06/2024,Nonexempt,40362.00
Emergency Preparedness and Response,EOC/911,Public Safety Tele Call Taker,Permanent Full-time,03/09/2024,03/09/2024,Nonexempt,40362.00
Emergency Preparedness and Response,EOC/911,Public Safety Telecomm II,Permanent Full-time,10/04/2010,08/16/2021,Nonexempt,48250.00
Emergency Preparedness and Response,EOC/911,Public Safety Tele Call Taker,Permanent Full-time,03/23/2024,03/23/2024,Nonexempt,40362.00
Emergency Preparedness and Response,EOC/Emergency Management,Bureau Manager,Permanent Full-time,09/23/2004,01/26/2024,Exempt,106000.00
Emergency Preparedness and Response,EOC/911,Public Safety Tele Call Taker,Permanent Full-time,03/23/2024,03/23/2024,Nonexempt,40362.00
Emergency Preparedness and Response,EOC/911,Public Safety Telecomm Supv,Permanent Full-time,07/11/2005,12/16/2017,Nonexempt,60478.00
Emergency Preparedness and Response,EOC/911,Public Safety Tele Call Taker,Permanent Full-time,11/18/2023,11/18/2023,Nonexempt,40362.00
Emergency Preparedness and Response,EOC/911,Public Safety Telecomm III,Permanent Full-time,08/06/2001,07/29/2023,Nonexempt,66355.00
Emergency Preparedness and Response,EOC/911,Citizen Service Advisor I,Permanent Full-time,07/01/2023,07/01/2023,Nonexempt,39574.50
Emergency Preparedness and Response,EOC/911,Public Safety Tele Call Taker,Permanent Full-time,06/21/2017,03/23/2024,Nonexempt,44014.00
Emergency Preparedness and Response,EOC/911,Public Safety Telecomm III,Permanent Full-time,04/08/2011,10/08/2022,Nonexempt,53409.00
Emergency Preparedness and Response,EOC/911,Public Safety Telecomm III,Permanent Full-time,10/18/2004,04/13/2019,Nonexempt,54718.00
Emergency Preparedness and Response,EOC/911,Public Safety Tele Call Taker,Permanent Full-time,03/23/2024,03/23/2024,Nonexempt,40362.00
Emergency Preparedness and Response,EOC/911,Public Safety Tele Call Taker,Permanent Full-time,08/12/2023,08/12/2023,Nonexempt,40362.00
Emergency Preparedness and Response,EOC/911,Public Safety Tele Call Taker,Permanent Full-time,01/28/2023,01/28/2023,Nonexempt,40362.00
Emergency Preparedness and Response,EOC/911,Software Analyst,Permanent Full-time,10/20/1984,05/15/1996,Exempt,81561.85
Emergency Preparedness and Response,EOC/911,Public Safety Telecomm III,Permanent Full-time,02/18/2014,03/28/2020,Nonexempt,53409.00
Emergency Preparedness and Response,EOC/911,Public Safety Telecomm II,Permanent Full-time,05/08/2021,05/08/2021,Nonexempt,48250.00
Emergency Preparedness and Response,EOC/911,Public Safety Telecomm II,Permanent Full-time,08/14/2009,11/15/2020,Nonexempt,48251.00
Emergency Preparedness and Response,EOC/911,Public Safety Telecomm II,Permanent Full-time,07/08/1996,07/01/1997,Nonexempt,63196.00
Emergency Preparedness and Response,EOC/911,Citizen Service Advisor I,Permanent Full-time,06/15/2024,06/15/2024,Nonexempt,40000.00
Emergency Preparedness and Response,EOC/911,Public Safety Tele Call Taker,Permanent Full-time,11/18/2023,11/18/2023,Nonexempt,40362.00
Emergency Preparedness and Response,EOC/911,Public Safety Telecomm Supv,Permanent Full-time,09/10/1990,12/10/2012,Nonexempt,66709.00
Emergency Preparedness and Response,EOC/911,Public Safety Telecomm II,Permanent Full-time,06/24/1999,05/04/2024,Nonexempt,54558.00
Emergency Preparedness and Response,EOC/911,Mgmt Services Administrator,Permanent Full-time,09/10/2007,07/01/2010,Exempt,96047.65
Emergency Preparedness and Response,EOC/911,Public Safety Tele Call Taker,Permanent Full-time,07/15/2023,03/09/2024,Nonexempt,43000.00
Emergency Preparedness and Response,EOC/911,Public Safety Tele Call Taker,Permanent Full-time,07/15/2023,07/15/2023,Nonexempt,41000.00
Emergency Preparedness and Response,EOC/911,Public Safety Telecomm III,Permanent Full-time,10/10/2016,03/28/2020,Nonexempt,53409.00
Emergency Preparedness and Response,EOC/911,Public Safety Telecomm III,Permanent Full-time,07/01/2003,02/16/2019,Nonexempt,54718.00
Emergency Preparedness and Response,EOC/911,Public Safety Telecomm I,Permanent Full-time,05/23/2022,05/23/2022,Nonexempt,45938.00
Emergency Preparedness and Response,EOC/911,Public Safety Telecomm II,Permanent Full-time,10/10/2020,10/10/2020,Nonexempt,48250.00
Emergency Preparedness and Response,EOC/911,Public Safety Telecomm Supv,Permanent Full-time,04/24/2017,05/20/2023,Nonexempt,59031.00
Emergency Preparedness and Response,EOC/911,Program Supervisor,Permanent Full-time,07/08/1996,03/23/2016,Exempt,63986.79
Emergency Preparedness and Response,EOC/911,Public Safety Telecomm Supv,Permanent Full-time,09/05/2002,11/23/2019,Nonexempt,60478.00
Emergency Preparedness and Response,EOC/911,Public Safety Telecomm I,Intermittent Temporary,07/05/2022,06/01/2024,Nonexempt,22.00
Emergency Preparedness and Response,EOC/911,Public Safety Telecomm I,Permanent Full-time,05/18/2024,05/18/2024,Nonexempt,45937.00
Emergency Preparedness and Response,EOC/911,Public Safety Telecomm III,Permanent Full-time,07/05/2022,04/06/2024,Nonexempt,53408.00
Emergency Preparedness and Response,EOC/911,Public Safety Telecomm II,Permanent Full-time,09/05/2000,09/05/2000,Nonexempt,63196.00
Emergency Preparedness and Response,EOC/911,Public Safety Telecomm Supv,Permanent Full-time,09/05/2000,04/13/2019,Nonexempt,63495.00
Emergency Preparedness and Response,EOC/911,Public Safety Telecomm Supv,Permanent Full-time,06/08/1992,12/05/2005,Nonexempt,71796.00
Emergency Preparedness and Response,EOC/911,Public Safety Telecomm II,Permanent Full-time,10/18/2004,10/18/2004,Nonexempt,58719.00
Emergency Preparedness and Response,EOC/Emergency Management,Administrative Assistant II,Permanent Full-time,12/16/1991,02/21/2017,Nonexempt,66808.17
Emergency Preparedness and Response,EOC/911,Public Safety Telecomm I,Intermittent Temporary,02/18/2014,02/01/2024,Nonexempt,24.99
Emergency Preparedness and Response,EOC/911,Public Safety Telecomm Supv,Permanent Full-time,11/09/1998,02/08/2014,Nonexempt,63495.00
Emergency Preparedness and Response,EOC/911,Citizen Service Advisor I,Permanent Full-time,07/01/2023,07/01/2023,Nonexempt,39575.00
Emergency Preparedness and Response,EOC/911,Public Safety Telecomm Supv,Permanent Full-time,02/20/2017,02/26/2024,Nonexempt,59031.00
Emergency Preparedness and Response,EOC/911,Public Safety Tele Call Taker,Permanent Full-time,03/23/2024,03/23/2024,Nonexempt,40362.00
Emergency Preparedness and Response,EOC/911,Public Safety Telecomm II,Permanent Full-time,12/15/2003,12/15/2003,Nonexempt,60187.00
Emergency Preparedness and Response,EOC/Emergency Management,Project Manager,Permanent Full-time,12/09/1989,09/06/2012,Exempt,78070.66
Emergency Preparedness and Response,EOC/911,Management Analyst II,Permanent Full-time,02/06/2017,10/08/2018,Exempt,54305.84
Emergency Preparedness and Response,EOC/911,Mgr ofEmergency Communications,Permanent Full-time,04/01/1991,10/08/2015,Exempt,87150.00
Emergency Preparedness and Response,EOC/911,Citizen Service Advisor I,Permanent Full-time,06/15/2024,06/15/2024,Nonexempt,39575.00
Emergency Preparedness and Response,EOC/911,Public Safety Tele Call Taker,Permanent Full-time,12/02/2023,12/02/2023,Nonexempt,40362.00
Emergency Preparedness and Response,EOC/911,Public Safety Telecomm Supv,Permanent Full-time,02/23/1998,04/24/2017,Nonexempt,60478.00
Emergency Preparedness and Response,EOC/911,Public Safety Telecomm I,Intermittent Temporary,09/11/2006,09/05/2020,Nonexempt,22.09
Emergency Preparedness and Response,EOC/911,Public Safety Telecomm II,Permanent Full-time,09/24/2014,09/24/2014,Nonexempt,50693.00
Parks and Recreation,"Rec,Pks,OpenSpace-Therapeutics",Recreation Aide,Intermittent Temporary,05/15/2017,08/01/2022,Nonexempt,15.75
Parks and Recreation,RPOS-Youth Development,Youth Services Worker,Intermittent Temporary,06/20/2023,06/08/2024,Nonexempt,15.00
Parks and Recreation,"Rec,Parks,OpenSpace-Rec Center",Recreation Aide,Intermittent Temporary,07/01/2023,07/01/2023,Nonexempt,15.00
Parks and Recreation,RPOS-Youth Development,Youth Services Worker,Intermittent Temporary,06/10/2024,06/10/2024,Nonexempt,15.00
Parks and Recreation,RPOS - Landscape Services,Park Ranger I,Permanent Full-time,12/03/2022,08/14/2023,Nonexempt,42763.30
Parks and Recreation,RPOS-Youth Development,Youth Services Worker,Intermittent Temporary,06/08/2024,06/08/2024,Nonexempt,15.00
Parks and Recreation,RPOS-Youth Development,Youth Services Worker,Intermittent Temporary,06/08/2024,06/08/2024,Nonexempt,15.00
Parks and Recreation,RPOS-Youth Development,Youth Services Worker,Intermittent Temporary,06/08/2024,06/08/2024,Nonexempt,15.00
Parks and Recreation,RPOS-Youth Development,Youth Services Worker,Intermittent Temporary,06/10/2024,06/10/2024,Nonexempt,15.00
Parks and Recreation,"Rec,Parks,OpenSpace-Rec Center",Recreation Aide,Intermittent Temporary,06/21/2022,08/12/2023,Nonexempt,15.75
Parks and Recreation,RPOS-Youth Development,Youth Services Worker,Intermittent Temporary,06/20/2023,06/08/2024,Nonexempt,15.00
Parks and Recreation,RPOS-Youth Development,Youth Services Worker,Intermittent Temporary,06/08/2024,06/08/2024,Nonexempt,15.00
Parks and Recreation,RPOS-Youth Development,Youth Services Worker,Intermittent Temporary,06/10/2024,06/10/2024,Nonexempt,15.00
